race,classtype,yearssmall,hsgrad,g4math,g4reading
1,3,0,1,711,750
1,1,4,1,709,725
1,2,0,1,698,692
1,1,4,1,740,836
1,1,4,1,771,725
1,1,4,1,709,761
1,2,0,1,698,778
1,3,0,1,673,665
1,2,0,0,744,735
1,3,0,1,731,698
1,2,0,1,727,750
1,2,0,0,487,616
1,2,1,0,674,675
2,2,0,0,666,644
1,2,0,1,664,528
2,3,0,0,744,732
1,2,0,1,702,771
1,3,0,1,667,729
1,1,4,1,744,772
2,2,0,1,654,647
1,1,4,1,680,528
1,1,4,0,666,675
1,3,0,1,595,653
1,1,4,1,678,650
2,1,3,1,706,684
2,1,4,0,680,723
2,2,0,1,758,729
2,1,2,1,719,721
2,3,1,1,758,782
2,2,0,1,727,715
2,3,0,1,694,709
2,2,2,1,744,724
1,2,0,1,676,721
1,2,2,1,662,528
2,2,0,1,740,701
2,3,0,1,773,738
1,1,4,1,653,548
1,2,0,1,533,650
2,1,4,1,654,605
1,2,0,1,702,741
2,2,0,1,713,712
1,1,4,1,647,701
1,1,4,1,740,763
1,3,0,1,705,753
1,1,1,1,758,794
1,1,4,1,724,713
1,1,4,1,531,528
1,1,4,1,705,726
1,3,0,1,720,836
1,1,4,1,643,528
1,3,0,1,697,698
1,1,4,1,662,697
1,1,4,1,686,705
1,2,0,1,821,784
1,2,0,1,683,733
1,2,0,1,821,767
1,1,4,1,729,763
1,1,4,1,741,740
1,2,0,1,758,726
1,1,4,0,640,620
1,3,0,0,706,718
1,2,2,0,708,712
1,1,4,1,744,836
1,1,4,1,697,764
1,3,2,1,714,699
1,1,4,1,729,733
1,1,4,1,742,761
1,3,0,1,655,714
1,2,0,1,716,760
1,3,0,1,740,750
1,2,0,1,758,736
1,1,4,1,701,695
1,1,4,1,739,737
1,3,0,1,694,720
1,3,0,1,720,738
1,3,0,1,704,714
1,1,4,1,821,756
1,1,4,1,713,781
1,3,0,1,717,782
1,3,1,1,714,743
1,3,0,1,716,737
1,1,1,1,728,727
1,1,4,1,747,836
1,2,0,1,689,671
1,2,0,1,744,836
1,2,2,1,693,703
1,3,0,1,737,776
1,3,2,1,727,751
1,2,0,1,692,778
1,3,0,1,740,698
1,1,4,1,750,763
2,3,0,1,693,528
1,1,4,1,707,715
1,1,4,1,767,750
1,2,2,1,740,741
1,3,0,1,744,761
1,1,4,1,702,741
1,3,3,1,720,702
1,2,0,0,695,696
1,2,0,1,712,740
1,1,4,0,717,741
1,1,4,1,821,796
1,2,0,1,758,745
1,1,4,0,665,620
1,2,0,1,740,741
1,3,0,1,741,688
1,2,0,1,674,704
1,3,0,1,758,734
1,1,1,1,739,836
1,2,0,0,741,753
1,3,2,1,821,778
1,3,0,1,744,784
1,1,4,0,713,707
1,2,0,1,690,728
1,3,3,1,704,719
1,3,2,1,706,737
2,2,0,1,741,722
1,3,0,1,707,757
1,3,0,1,700,716
1,2,0,1,741,722
1,2,0,1,704,699
1,1,4,1,715,762
1,1,4,0,535,705
1,3,0,0,691,717
1,1,1,0,695,741
1,2,0,0,675,721
1,2,3,1,758,769
1,1,4,1,686,742
1,1,4,1,758,778
2,3,0,0,709,713
1,1,4,1,740,785
1,3,0,1,699,756
1,2,3,1,705,724
1,3,0,1,696,673
1,1,4,1,769,761
1,3,0,1,758,751
1,1,4,1,758,721
1,3,0,1,767,745
1,3,2,1,726,742
1,3,0,1,740,727
1,2,0,1,739,782
1,3,3,1,750,716
1,2,0,1,738,742
1,2,0,1,712,778
1,1,4,1,714,744
1,1,4,1,728,784
1,2,0,1,758,767
1,1,4,1,741,784
1,3,0,1,697,706
1,3,0,1,744,740
1,3,0,0,699,723
1,2,0,1,724,667
1,2,0,1,686,698
1,3,3,1,752,716
1,1,4,1,744,836
2,3,3,1,725,691
1,3,0,1,726,723
1,2,0,1,758,763
1,2,0,1,773,741
1,3,0,1,639,701
1,3,0,1,712,704
1,2,0,1,710,736
1,1,3,1,696,757
1,1,4,1,740,778
1,3,0,1,719,836
1,1,4,0,771,688
1,1,4,0,664,742
1,3,0,1,698,713
1,3,0,1,679,836
1,2,0,1,694,763
1,1,4,1,681,704
1,3,0,1,758,741
1,1,4,1,744,794
2,3,0,1,726,727
1,3,0,1,745,700
2,2,0,1,730,736
1,3,0,1,705,659
1,1,4,1,655,709
1,2,0,1,767,760
1,1,4,1,741,735
1,1,4,1,701,740
1,1,4,1,740,741
1,1,4,1,735,761
2,2,0,1,678,681
1,2,0,1,758,760
1,3,0,1,724,721
1,2,0,1,684,622
1,2,0,1,767,765
1,3,0,0,598,736
1,2,1,1,722,756
1,3,0,1,697,735
1,2,0,1,743,836
1,2,1,1,758,778
1,2,0,1,603,689
1,3,0,1,744,756
1,2,3,1,749,680
1,3,0,1,739,763
1,1,4,1,758,836
1,2,0,1,715,676
1,3,0,1,729,761
1,3,0,1,726,724
1,3,0,1,717,717
1,1,3,1,699,719
1,2,0,1,711,695
1,3,0,1,708,836
1,2,0,0,702,715
1,2,3,1,821,765
1,2,0,1,710,728
1,3,2,1,657,702
1,3,0,1,726,718
1,1,4,1,728,836
2,3,0,0,647,689
1,1,4,1,706,710
1,3,0,1,758,836
1,2,0,1,741,784
1,2,0,1,662,714
1,2,0,1,715,765
1,3,0,1,717,682
1,2,0,1,697,604
1,2,0,1,658,688
1,1,4,1,690,730
1,3,3,1,707,721
1,3,0,1,709,642
1,1,4,1,698,782
1,3,0,0,719,694
1,3,0,0,754,763
1,2,3,1,726,757
1,1,4,0,684,731
1,1,4,1,662,632
1,2,2,1,771,739
1,2,0,1,664,700
1,2,0,1,821,705
1,3,0,1,718,711
1,3,2,1,691,721
1,1,4,1,747,736
1,1,4,1,690,711
1,3,0,1,729,725
1,1,4,1,703,701
1,1,4,0,699,697
1,2,0,1,648,677
1,2,0,1,717,836
1,3,0,1,744,770
1,3,0,1,679,695
1,2,0,1,728,760
1,3,0,1,765,745
1,2,0,1,690,695
1,1,4,1,724,737
1,1,4,1,758,714
1,3,0,1,769,784
1,1,4,1,686,745
1,2,0,1,716,763
1,2,0,0,681,728
1,2,0,1,704,668
1,1,4,1,783,836
1,1,4,1,699,724
1,1,4,1,636,697
1,2,0,0,531,641
1,3,0,1,758,760
1,2,0,1,696,688
1,1,4,1,738,685
1,3,1,1,689,662
1,2,0,1,696,734
1,1,4,1,789,750
6,3,0,1,741,778
1,1,4,1,779,782
1,2,0,1,637,691
1,2,0,1,739,771
1,1,4,1,689,705
1,3,0,1,657,705
1,2,0,1,701,652
1,3,3,1,723,741
1,2,3,1,691,763
1,3,0,1,715,755
1,1,4,1,679,660
1,2,0,1,695,738
1,2,3,0,707,760
1,3,0,0,726,692
1,3,0,1,733,703
2,2,0,1,707,721
1,2,0,1,727,689
1,3,0,1,645,683
1,3,0,1,711,753
1,3,0,1,741,686
1,2,0,1,711,751
1,2,0,1,741,724
1,1,4,1,741,836
1,1,4,0,672,690
1,3,0,1,728,794
1,1,4,1,708,730
1,2,0,1,721,743
1,1,4,1,744,709
1,2,0,1,709,699
1,2,0,1,702,722
1,1,4,1,758,750
2,2,0,1,692,740
1,1,4,1,752,778
1,3,0,1,694,750
1,1,4,1,821,836
1,3,0,1,754,710
1,2,2,1,696,686
1,3,0,1,703,702
1,3,3,1,714,751
1,3,1,1,718,685
2,1,4,0,711,750
2,2,0,1,736,678
2,1,2,1,731,737
1,3,0,1,724,656
1,1,4,0,689,738
1,3,0,1,693,754
1,2,1,1,681,760
1,2,0,1,779,763
1,1,4,1,714,660
1,2,0,1,703,657
1,3,0,1,742,836
1,1,4,1,728,714
1,2,0,1,686,710
1,2,0,1,715,693
1,1,4,1,744,770
2,3,0,1,658,673
1,3,0,1,712,711
1,3,0,1,694,732
1,2,0,1,744,750
1,3,0,1,719,721
1,1,4,1,652,650
1,2,0,1,699,712
1,3,0,1,767,735
1,2,0,1,711,748
1,3,2,1,710,794
1,3,0,1,678,760
1,2,0,1,732,749
1,3,0,1,706,711
1,1,4,1,741,735
1,2,0,1,728,731
2,3,0,1,688,666
1,3,0,1,717,705
1,1,4,1,728,731
1,1,4,1,708,760
1,1,3,1,724,725
1,1,4,1,692,690
1,2,0,1,691,712
1,1,4,1,744,684
2,1,4,1,741,733
1,2,3,1,685,705
1,2,3,1,725,836
2,3,0,1,725,742
1,2,0,1,729,715
1,1,3,1,744,739
2,2,3,1,712,778
1,1,4,1,738,736
1,3,0,1,821,784
2,2,3,1,769,736
1,1,4,1,752,691
1,1,4,1,653,683
2,1,4,0,707,721
1,2,0,1,732,700
1,3,0,1,741,714
2,3,0,0,674,707
1,1,3,1,736,782
2,2,2,0,658,698
1,3,0,1,629,703
1,1,4,1,679,742
1,1,4,1,731,737
2,2,0,1,821,778
1,2,0,1,686,750
1,1,4,1,704,722
1,2,0,1,758,836
1,1,4,1,724,723
1,3,3,1,721,727
1,2,0,1,728,750
2,1,4,1,740,760
2,2,0,1,728,676
1,1,4,1,821,784
1,2,0,1,648,677
1,3,0,1,726,695
2,1,4,1,716,720
1,3,0,1,724,737
2,1,4,1,702,699
1,1,4,1,719,836
2,1,4,1,741,729
2,2,0,0,625,685
2,1,4,1,715,696
1,1,4,1,692,744
2,2,0,1,639,635
1,1,4,1,677,740
2,1,4,1,699,740
1,3,0,1,719,764
2,3,1,1,758,836
1,1,4,0,705,785
1,3,0,1,768,705
1,1,3,1,667,739
1,2,0,1,728,698
1,3,0,1,691,716
1,1,4,1,715,683
1,3,0,1,755,690
2,2,0,1,688,689
2,3,3,0,680,721
2,3,0,1,758,722
1,1,4,1,717,723
2,2,1,1,696,648
2,1,4,1,655,700
2,1,4,1,711,692
1,3,0,1,758,733
1,3,0,1,821,742
1,1,4,1,627,702
1,2,1,1,709,741
1,1,4,1,668,528
1,2,0,1,690,688
1,3,0,1,821,836
2,1,4,0,702,737
1,1,4,1,821,836
2,2,0,1,758,715
1,3,0,1,661,695
1,3,0,1,738,762
1,2,0,1,767,728
1,2,0,0,667,744
1,2,2,1,758,750
2,3,0,1,733,684
1,1,4,1,693,680
1,1,4,1,702,714
1,2,0,1,691,699
1,1,4,1,706,730
1,1,4,0,663,677
1,3,0,1,708,731
1,2,2,1,689,717
1,1,2,1,715,689
1,3,0,1,741,682
1,3,3,1,733,760
1,2,0,1,704,731
1,2,0,1,744,760
1,2,0,1,740,750
1,1,4,1,758,742
1,3,3,1,710,741
1,2,0,1,727,767
1,2,2,0,659,728
1,1,4,1,758,836
2,3,0,1,736,717
2,3,1,1,700,634
2,2,0,1,738,642
1,1,4,1,690,701
1,2,0,1,707,758
1,3,0,1,667,700
1,3,0,1,742,763
1,2,0,1,729,695
1,1,3,0,758,707
1,2,0,1,664,725
2,1,4,1,683,701
1,3,1,1,702,734
1,1,4,1,725,730
1,3,0,1,686,699
2,2,0,1,693,669
1,2,0,1,696,720
1,1,4,1,701,686
1,1,4,1,710,694
3,3,0,1,718,726
2,1,4,0,677,700
2,3,0,1,747,719
2,1,3,1,734,718
2,3,0,1,705,528
1,1,1,1,739,760
1,3,0,1,744,716
1,2,0,1,731,757
1,1,4,1,758,708
1,3,0,1,742,771
1,3,0,1,648,615
1,3,0,1,741,836
2,3,3,0,702,598
1,2,0,1,767,760
1,3,0,1,758,703
1,3,0,1,692,705
2,2,0,1,742,672
2,3,0,1,697,669
1,3,0,1,744,750
2,1,4,1,689,650
2,2,0,1,651,612
1,2,0,1,682,719
1,3,3,1,669,767
2,1,4,1,732,750
1,2,0,1,677,689
1,2,0,1,691,722
1,3,3,1,725,836
1,3,0,1,686,719
1,1,4,1,741,763
1,3,2,1,709,836
2,3,0,0,700,688
1,1,4,1,741,785
1,2,0,1,739,836
2,3,0,1,686,679
2,3,0,1,712,670
1,3,2,1,702,710
1,3,0,1,731,722
1,2,0,1,736,752
1,3,0,1,711,763
1,1,4,1,706,657
1,3,0,1,662,691
1,2,0,1,714,761
2,3,0,1,487,589
1,3,0,1,698,719
1,3,0,1,725,836
1,2,0,1,752,709
2,3,0,0,671,745
2,1,4,1,622,708
1,1,4,1,821,763
1,2,0,1,739,730
1,3,2,1,769,741
1,1,4,1,708,731
1,2,0,1,682,725
1,3,0,1,741,740
1,1,4,1,732,677
1,2,0,1,695,715
1,3,0,1,726,750
1,3,0,1,648,724
1,2,0,1,699,732
1,3,3,1,750,796
1,2,0,0,640,662
2,1,4,1,706,731
2,2,0,1,758,711
1,3,0,1,698,723
1,2,0,0,736,745
1,2,0,1,707,722
2,3,0,1,661,676
1,2,0,1,744,760
1,2,0,1,677,724
2,1,4,1,688,703
1,3,0,1,670,528
1,2,0,1,821,731
1,2,3,1,720,744
2,3,0,1,702,691
1,1,4,1,738,836
2,3,0,1,717,771
1,2,0,1,738,718
1,3,0,1,758,742
2,2,0,0,664,708
1,2,0,1,719,736
1,3,0,1,821,778
2,2,0,1,704,651
1,3,0,0,689,722
1,3,0,1,699,692
2,3,1,1,821,748
2,3,1,1,719,701
2,1,2,1,758,696
2,2,0,1,715,734
2,2,0,1,721,687
1,1,2,1,758,718
1,3,0,1,727,782
1,1,4,1,758,702
1,1,4,1,695,794
1,3,0,1,758,751
1,1,4,1,729,756
1,2,3,1,728,729
1,1,4,1,741,722
1,3,0,1,683,739
1,2,0,1,715,836
1,3,0,1,711,742
1,2,0,1,675,665
1,3,0,0,732,716
1,3,0,1,703,733
1,3,1,1,674,697
1,2,0,1,716,683
1,3,0,1,758,751
1,3,0,1,729,741
1,2,0,1,729,752
2,2,0,1,701,718
1,3,0,1,742,836
1,3,0,1,706,726
1,2,0,0,715,776
1,2,0,1,749,708
2,3,0,1,716,718
1,1,4,1,686,703
1,2,0,1,741,750
1,1,4,1,694,731
1,3,0,1,696,706
1,2,1,1,773,723
1,3,1,1,715,661
1,1,4,1,679,707
1,1,4,1,727,702
2,1,4,1,679,734
1,2,0,1,676,760
1,1,4,0,767,735
1,3,0,1,661,656
1,3,0,1,769,756
1,3,0,1,705,718
1,1,4,1,742,760
1,2,0,1,710,717
1,3,1,1,758,836
1,3,0,1,768,760
1,1,4,1,741,717
1,2,0,1,724,732
1,2,0,1,704,735
1,3,0,1,629,528
2,3,0,1,725,699
1,2,0,1,711,699
1,2,0,1,707,725
1,1,4,1,766,836
1,2,2,1,707,728
2,3,2,1,723,720
2,2,0,1,692,720
2,3,0,1,732,760
1,3,0,1,710,702
1,1,4,1,749,761
1,2,0,1,709,693
2,3,0,0,719,655
2,3,0,1,725,691
2,2,2,1,821,722
1,3,0,1,671,699
1,3,0,1,704,708
1,3,0,1,717,721
1,1,4,1,709,703
1,2,0,1,700,689
1,1,4,1,698,760
1,1,4,1,726,771
1,2,0,1,676,586
1,2,0,1,729,743
1,2,0,1,689,740
1,1,4,1,821,755
1,1,4,1,640,702
1,1,4,1,653,689
1,3,0,1,758,836
1,1,4,0,712,742
1,3,0,1,709,758
2,2,0,1,711,707
1,2,0,1,704,724
1,3,0,1,683,670
1,2,0,0,705,732
1,1,4,1,758,750
1,2,0,1,709,757
1,2,0,1,733,708
1,2,0,1,758,760
1,2,0,1,740,746
1,1,4,1,735,750
1,3,0,1,740,701
1,1,4,1,703,723
1,2,0,1,715,722
1,3,0,1,821,784
1,3,3,1,487,600
1,2,0,1,704,711
1,3,0,1,725,768
2,1,4,1,682,613
1,2,0,1,700,713
1,1,2,0,671,701
1,3,0,1,720,745
1,3,0,1,726,750
1,3,2,1,821,778
1,1,4,0,684,698
1,3,0,1,744,733
1,2,0,1,740,836
1,2,0,1,821,745
1,3,0,1,711,784
1,1,4,0,729,712
1,1,4,1,767,782
1,1,4,1,741,749
1,1,4,1,678,699
1,2,0,1,685,736
1,3,0,1,680,731
1,1,4,1,703,629
2,1,4,1,672,684
1,3,0,1,741,647
2,2,3,1,714,698
1,3,0,1,721,528
1,3,0,1,775,836
2,3,0,1,691,734
1,3,0,1,768,785
2,2,2,1,771,685
1,3,0,1,758,737
1,2,0,1,679,740
1,3,0,1,728,752
1,2,0,1,768,747
1,2,0,0,705,696
1,3,0,1,702,750
1,3,0,0,741,718
1,2,0,1,679,836
1,2,0,1,739,747
1,2,0,1,717,836
2,2,0,1,687,700
1,3,0,1,769,760
1,2,0,1,712,680
2,1,4,0,570,621
1,1,4,1,744,778
1,3,0,1,674,736
1,3,0,1,758,729
1,2,0,0,717,667
1,1,4,1,733,691
1,2,0,1,648,705
2,3,2,1,608,666
2,2,0,0,668,687
1,3,0,1,677,778
1,2,0,1,690,692
1,2,3,1,740,782
1,2,0,1,685,650
1,3,0,1,726,693
1,2,0,1,716,760
1,1,4,1,710,734
2,3,1,1,701,528
2,2,0,1,727,694
2,2,0,1,676,692
1,1,4,1,690,725
1,3,0,1,628,575
1,1,4,1,680,653
1,3,3,0,734,772
1,1,4,1,712,712
1,2,1,1,726,794
1,2,1,1,694,688
1,2,0,1,718,760
2,1,4,1,693,734
1,3,0,1,701,723
1,2,0,1,622,727
1,2,0,1,741,746
1,3,0,1,681,720
1,2,0,1,694,674
1,3,0,1,715,698
1,3,0,1,699,739
1,1,4,1,726,755
1,2,0,0,688,745
1,2,0,0,685,719
1,3,0,0,695,720
1,2,0,1,688,734
1,3,0,1,690,689
1,3,0,1,677,763
1,3,2,1,721,728
2,2,0,1,679,760
2,3,0,0,717,728
1,1,4,1,821,769
1,1,4,1,701,738
2,2,0,1,711,769
1,2,0,1,758,731
1,3,0,1,694,711
1,1,4,1,691,635
1,1,4,1,689,721
1,3,0,1,758,727
1,2,0,1,730,667
1,1,4,1,700,705
1,1,4,1,703,723
1,3,0,1,671,713
1,2,0,1,679,689
1,2,3,1,714,724
1,2,0,1,715,739
1,2,0,1,752,714
1,3,0,1,728,750
1,2,0,1,758,836
1,1,4,1,690,707
1,2,0,1,719,710
1,2,0,1,740,836
1,3,0,1,700,756
1,2,0,1,743,685
1,1,4,1,753,745
1,1,4,1,695,734
1,2,3,1,716,721
1,2,0,1,735,836
1,3,0,1,693,685
2,2,3,1,705,707
1,3,0,1,716,690
1,1,4,0,697,713
1,1,4,1,713,744
1,1,4,1,684,685
1,1,4,1,728,750
1,1,4,1,726,709
1,3,0,1,725,735
1,1,4,1,718,693
1,2,0,1,684,719
1,3,0,1,720,678
1,2,0,1,727,747
1,1,4,1,719,750
1,2,0,1,758,781
1,3,0,1,694,702
1,2,0,1,732,688
1,2,0,1,758,695
1,2,0,1,664,717
1,3,0,1,758,745
1,3,0,1,739,782
1,2,0,1,712,730
1,1,4,1,769,771
1,2,3,1,704,741
1,3,0,0,487,668
1,1,4,1,727,736
1,1,4,1,686,734
1,1,4,0,722,836
1,1,4,1,681,725
1,2,0,1,690,730
1,2,0,1,703,680
2,2,0,1,707,670
2,1,1,1,639,656
1,2,0,1,708,740
3,2,0,1,704,684
1,3,0,1,664,687
1,1,4,1,666,721
1,2,0,1,752,754
1,1,4,1,679,727
1,2,0,1,723,757
2,3,0,0,668,675
1,1,4,1,740,778
1,1,4,1,676,717
1,3,0,1,661,700
1,3,0,1,725,714
1,2,0,1,738,836
1,2,1,1,677,698
1,2,0,1,643,724
1,3,0,1,821,782
1,2,0,1,658,699
1,2,0,0,709,696
